"Month","Year","Area","Value","Date"
6,2023,"Ballymena",31,2023-06-01
6,2023,"Coleraine",115,2023-06-01
6,2023,"Dungannon",70,2023-06-01
6,2023,"Enniskillen",81,2023-06-01
6,2023,"L'derry/Strabane",9,2023-06-01
6,2023,"Mallusk",24,2023-06-01
6,2023,"Newry",186,2023-06-01
6,2023,"Nt'Ards",161,2023-06-01
6,2023,"Omagh",150,2023-06-01
7,2023,"Armagh",160,2023-07-01
7,2023,"Ballymena",74,2023-07-01
7,2023,"Coleraine",112,2023-07-01
7,2023,"Dungannon",149,2023-07-01
7,2023,"Enniskillen",227,2023-07-01
7,2023,"L'derry/Strabane",48,2023-07-01
7,2023,"Mallusk",21,2023-07-01
7,2023,"Newry",230,2023-07-01
7,2023,"Nt'Ards",251,2023-07-01
7,2023,"Omagh",147,2023-07-01
8,2023,"Armagh",252,2023-08-01
8,2023,"Ballymena",91,2023-08-01
8,2023,"Coleraine",170,2023-08-01
8,2023,"Dungannon",135,2023-08-01
8,2023,"Enniskillen",285,2023-08-01
8,2023,"L'derry/Strabane",36,2023-08-01
8,2023,"Mallusk",15,2023-08-01
8,2023,"Newry",351,2023-08-01
8,2023,"Nt'Ards",279,2023-08-01
8,2023,"Omagh",156,2023-08-01
9,2023,"Armagh",93,2023-09-01
9,2023,"Ballymena",66,2023-09-01
9,2023,"Coleraine",104,2023-09-01
9,2023,"Dungannon",151,2023-09-01
9,2023,"Enniskillen",278,2023-09-01
9,2023,"L'derry/Strabane",26,2023-09-01
9,2023,"Mallusk",27,2023-09-01
9,2023,"Newry",255,2023-09-01
9,2023,"Nt'Ards",249,2023-09-01
9,2023,"Omagh",187,2023-09-01
10,2023,"Armagh",164,2023-10-01
10,2023,"Ballymena",74,2023-10-01
10,2023,"Coleraine",151,2023-10-01
10,2023,"Dungannon",296,2023-10-01
10,2023,"Enniskillen",319,2023-10-01
10,2023,"L'derry/Strabane",64,2023-10-01
10,2023,"Mallusk",22,2023-10-01
10,2023,"Newry",421,2023-10-01
10,2023,"Nt'Ards",198,2023-10-01
10,2023,"Omagh",127,2023-10-01
11,2023,"Armagh",314,2023-11-01
11,2023,"Ballymena",94,2023-11-01
11,2023,"Coleraine",248,2023-11-01
11,2023,"Dungannon",206,2023-11-01
11,2023,"Enniskillen",244,2023-11-01
11,2023,"L'derry/Strabane",69,2023-11-01
11,2023,"Mallusk",11,2023-11-01
11,2023,"Newry",375,2023-11-01
11,2023,"Nt'Ards",340,2023-11-01
11,2023,"Omagh",446,2023-11-01
12,2023,"Armagh",144,2023-12-01
12,2023,"Ballymena",63,2023-12-01
12,2023,"Coleraine",142,2023-12-01
12,2023,"Dungannon",198,2023-12-01
12,2023,"Enniskillen",310,2023-12-01
12,2023,"L'derry/Strabane",73,2023-12-01
12,2023,"Mallusk",40,2023-12-01
12,2023,"Newry",325,2023-12-01
12,2023,"Nt'Ards",237,2023-12-01
12,2023,"Omagh",246,2023-12-01
